match_id,matchday,date,opponent,avg_tpr,avg_synchronization
DFL-MAT-J041UB,1,2025-08-24,Borussia Mönchengladbach,0.37405024942569803,0.6564889689772586
DFL-MAT-J041UN,2,2025-08-29,FC St. Pauli,0.3705777022511293,0.6483048359294032
DFL-MAT-J041UO,3,2025-09-13,FC Bayern München,0.37834955600277276,0.6594240787287328
DFL-MAT-J041V5,4,2025-09-20,1. FC Heidenheim 1846,0.36226998909063696,0.668497529979371
DFL-MAT-J041VB,5,2025-09-28,1. FC Union Berlin,0.3843329592753326,0.6533577053261985
DFL-MAT-J041VN,6,2025-10-05,1. FSV Mainz 05,0.3682437784614803,0.653270756653174
DFL-MAT-J041VR,7,2025-10-18,RB Leipzig,0.36121059551955925,0.6539010539250623
DFL-MAT-J041W5,8,2025-10-25,VfL Wolfsburg,0.3628298709135971,0.6448153265385662
DFL-MAT-J041WE,9,2025-11-02,1. FC Köln,0.3720436495785234,0.6595613319668973
DFL-MAT-J041WN,10,2025-11-08,Borussia Dortmund,0.37710301588226447,0.6453619394642633
DFL-MAT-J041WT,11,2025-11-22,FC Augsburg,0.3708678411648509,0.6567905374544646
DFL-MAT-J041X5,12,2025-11-30,VfB Stuttgart,0.3784301561523817,0.6512578550702129
DFL-MAT-J041XE,13,2025-12-07,SV Werder Bremen,0.3654249337450723,0.6613755286389115
DFL-MAT-J041XN,14,2025-12-13,TSG Hoffenheim,0.37244498722654396,0.6554483291969357
DFL-MAT-J041XW,15,2025-12-20,Eintracht Frankfurt,0.35551797391655904,0.6457836537432278
DFL-MAT-J041Y0,16,2026-01-10,Sport-Club Freiburg,0.36903084707652395,0.6655247204824337
DFL-MAT-J041YE,17,2026-03-04,Bayer 04 Leverkusen,0.37582838959528225,0.6521245044882692
DFL-MAT-J041YN,18,2026-01-17,Borussia Mönchengladbach,0.3680968066842521,0.6561360385657434
DFL-MAT-J041YV,19,2026-01-23,FC St. Pauli,0.3670888770368365,0.6522391457772253
DFL-MAT-J041Z5,20,2026-01-31,FC Bayern München,0.37799353851026163,0.6493021452887405
DFL-MAT-J041ZD,21,2026-02-07,1. FC Heidenheim 1846,0.3736100335188825,0.6579797306886375
DFL-MAT-J041ZN,22,2026-02-14,1. FC Union Berlin,0.35137373944832007,0.6539906268884499
DFL-MAT-J041ZQ,23,2026-02-20,1. FSV Mainz 05,0.36648500742125745,0.6476154663637257
DFL-MAT-J04205,24,2026-03-01,RB Leipzig,0.3734318594143415,0.6721266496725821
DFL-MAT-J0420A,25,2026-03-07,VfL Wolfsburg,0.38709763334041447,0.6723819760982227
DFL-MAT-J0420N,26,2026-03-14,1. FC Köln,0.36753864985870965,0.6598160000080745
DFL-MAT-J0420P,27,2026-03-21,Borussia Dortmund,0.3695021849535723,0.6579801078188994
DFL-MAT-J04215,28,2026-04-04,FC Augsburg,0.3719599056291744,0.659055289706675
DFL-MAT-J04219,29,2026-04-12,VfB Stuttgart,0.38558000573182466,0.6481671977372406
DFL-MAT-J0421J,30,2026-04-18,SV Werder Bremen,0.3711540594887449,0.6545833922934893
DFL-MAT-J0421W,31,2026-04-25,TSG Hoffenheim,0.38568746939488024,0.6515182977500446
DFL-MAT-J0421Z,32,2026-05-02,Eintracht Frankfurt,0.36660099093483334,0.6560752253702357
DFL-MAT-J0422E,33,2026-05-10,Sport-Club Freiburg,0.36860851901932046,0.6590559214086998
DFL-MAT-J0422G,34,2026-05-16,Bayer 04 Leverkusen,0.3749607947258316,0.6413099836367208
